,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd
241,1970-01-01 00:05:14.473,2,5,4,2,1,2,3,-3.7899999618530273,1.5299999713897705
242,1970-01-01 00:06:34.503,1,2,8,2,3,3,1,3.390000104904175,4.349999904632568
243,1970-01-01 00:07:48.576,1,7,1,2,1,2,1,3.140000104904175,3.5399999618530273
244,1970-01-01 00:09:10.102,4,2,8,4,3,2,2,4.75,2.7799999713897705
245,1970-01-01 00:00:35.550,2,7,7,3,3,3,2,-0.4699999988079071,3.1500000953674316
246,1970-01-01 00:02:08.303,1,4,9,5,1,2,1,2.319999933242798,4.670000076293945
247,1970-01-01 00:03:28.572,3,7,1,1,3,3,3,-2.309999942779541,4.309999942779541
248,1970-01-01 00:04:54.337,1,7,6,5,2,3,3,0.10000000149011612,2.6600000858306885
249,1970-01-01 00:06:14.500,4,8,6,5,3,3,2,1.4199999570846558,4.949999809265137
250,1970-01-01 00:07:27.368,2,5,3,1,3,2,1,-0.2800000011920929,3.2200000286102295
251,1970-01-01 00:08:46.275,4,8,4,1,2,2,3,1.0499999523162842,1.3200000524520874
252,1970-01-01 00:00:36.528,2,6,2,4,2,3,3,2.630000114440918,4.429999828338623
253,1970-01-01 00:02:09.704,4,5,5,5,1,3,3,-4.590000152587891,4.46999979019165
254,1970-01-01 00:03:26.970,3,6,8,4,1,3,2,-0.6100000143051147,3.4700000286102295
255,1970-01-01 00:04:55.273,2,6,3,3,1,3,1,2.490000009536743,2.3399999141693115
256,1970-01-01 00:06:15.639,2,1,3,4,1,3,1,2.6600000858306885,3.7100000381469727
257,1970-01-01 00:07:25.539,2,3,1,5,1,2,1,-2.640000104904175,2.369999885559082
258,1970-01-01 00:08:46.943,2,6,2,2,1,2,3,2.7300000190734863,3.049999952316284
259,1970-01-01 00:00:34.711,4,2,5,2,2,3,2,-1.0399999618530273,2.3499999046325684
260,1970-01-01 00:02:10.940,3,2,3,2,2,2,3,2.7100000381469727,3.9200000762939453
261,1970-01-01 00:03:24.773,4,4,1,4,3,3,1,3.9700000286102295,3.2300000190734863
262,1970-01-01 00:04:54.205,1,7,2,4,3,3,1,0.25,2.5399999618530273
263,1970-01-01 00:06:15.773,2,4,6,1,2,2,1,-4.829999923706055,2.5299999713897705
264,1970-01-01 00:07:29.037,1,6,1,4,3,3,3,-2.240000009536743,4.230000019073486
265,1970-01-01 00:08:46.474,1,3,3,3,3,2,2,-1.350000023841858,2.6600000858306885
266,1970-01-01 00:00:35.475,2,7,9,1,2,2,2,-0.9599999785423279,4.940000057220459
267,1970-01-01 00:02:10.702,1,2,3,2,2,2,3,-0.8700000047683716,1.9700000286102295
268,1970-01-01 00:03:20.673,1,5,2,1,1,3,1,4.150000095367432,3.380000114440918
269,1970-01-01 00:05:14.470,2,0,1,2,1,2,3,4.659999847412109,1.25
270,1970-01-01 00:06:30.769,2,7,1,5,3,2,2,0.36000001430511475,4.889999866485596
