time,.data
1970/01/01/01:00:42.934000,False
1970/01/01/01:00:42.967000,False
1970/01/01/01:00:43.000000,False
1970/01/01/01:00:43.034000,False
1970/01/01/01:00:43.067000,False
1970/01/01/01:00:43.100000,False
1970/01/01/01:00:43.134000,False
1970/01/01/01:00:43.168000,False
1970/01/01/01:00:43.200000,False
1970/01/01/01:00:43.235000,False
1970/01/01/01:00:43.267000,False
1970/01/01/01:00:43.300000,False
1970/01/01/01:00:43.334000,False
1970/01/01/01:00:43.367000,False
1970/01/01/01:00:43.400000,False
1970/01/01/01:00:43.434000,False
1970/01/01/01:00:43.467000,False
1970/01/01/01:00:43.500000,False
1970/01/01/01:00:43.534000,False
1970/01/01/01:00:43.567000,False
1970/01/01/01:00:43.601000,False
1970/01/01/01:00:43.634000,False
1970/01/01/01:00:43.667000,False
1970/01/01/01:00:43.700000,False
1970/01/01/01:00:43.734000,False
1970/01/01/01:00:43.767000,False
1970/01/01/01:00:43.801000,False
1970/01/01/01:00:43.834000,False
1970/01/01/01:00:43.867000,False
1970/01/01/01:00:43.900000,False
1970/01/01/01:00:43.936000,False
1970/01/01/01:00:43.967000,False
1970/01/01/01:00:44.000000,False
1970/01/01/01:00:44.034000,False
1970/01/01/01:00:44.067000,False
1970/01/01/01:00:44.100000,False
1970/01/01/01:00:44.134000,False
1970/01/01/01:00:44.167000,False
1970/01/01/01:00:44.200000,False
1970/01/01/01:00:44.234000,False
1970/01/01/01:00:44.267000,False
1970/01/01/01:00:44.300000,False
1970/01/01/01:00:44.334000,False
1970/01/01/01:00:44.367000,False
1970/01/01/01:00:44.400000,False
1970/01/01/01:00:44.434000,False
1970/01/01/01:00:44.467000,False
1970/01/01/01:00:44.500000,False
1970/01/01/01:00:44.534000,False
1970/01/01/01:00:44.567000,False
1970/01/01/01:00:44.600000,False
1970/01/01/01:00:44.634000,False
1970/01/01/01:00:44.667000,False
1970/01/01/01:00:44.700000,False
1970/01/01/01:00:44.734000,False
1970/01/01/01:00:44.767000,False
1970/01/01/01:00:44.800000,False
1970/01/01/01:00:44.834000,False
1970/01/01/01:00:44.867000,False
1970/01/01/01:00:44.900000,False
1970/01/01/01:00:44.934000,False
1970/01/01/01:00:44.967000,False
1970/01/01/01:00:45.000000,False
1970/01/01/01:00:45.034000,False
1970/01/01/01:00:45.067000,False
1970/01/01/01:00:45.100000,False
1970/01/01/01:00:45.134000,False
1970/01/01/01:00:45.167000,False
1970/01/01/01:00:45.200000,False
1970/01/01/01:00:45.234000,False
1970/01/01/01:00:45.268000,False
1970/01/01/01:00:45.301000,False
1970/01/01/01:00:45.335000,False
1970/01/01/01:00:45.368000,False
1970/01/01/01:00:45.400000,False
1970/01/01/01:00:45.434000,False
1970/01/01/01:00:45.467000,False
1970/01/01/01:00:45.500000,False
1970/01/01/01:00:45.534000,False
1970/01/01/01:00:45.567000,False
1970/01/01/01:00:45.600000,False
1970/01/01/01:00:45.634000,False
1970/01/01/01:00:45.667000,False
1970/01/01/01:00:45.700000,False
1970/01/01/01:00:45.734000,False
1970/01/01/01:00:45.767000,False
1970/01/01/01:00:45.800000,False
1970/01/01/01:00:45.834000,False
1970/01/01/01:00:45.867000,False
1970/01/01/01:00:45.900000,False
1970/01/01/01:00:45.934000,False
1970/01/01/01:00:45.967000,False
1970/01/01/01:00:46.000000,False
1970/01/01/01:00:46.034000,False
1970/01/01/01:00:46.067000,False
1970/01/01/01:00:46.100000,False
1970/01/01/01:00:46.134000,False
1970/01/01/01:00:46.167000,False
1970/01/01/01:00:46.200000,False
1970/01/01/01:00:46.234000,False
1970/01/01/01:00:46.267000,False
1970/01/01/01:00:46.300000,False
1970/01/01/01:00:46.334000,False
1970/01/01/01:00:46.367000,False
1970/01/01/01:00:46.400000,False
1970/01/01/01:00:46.434000,False
1970/01/01/01:00:46.467000,False
1970/01/01/01:00:46.500000,False
1970/01/01/01:00:46.534000,False
1970/01/01/01:00:46.568000,False
1970/01/01/01:00:46.600000,False
1970/01/01/01:00:46.634000,False
1970/01/01/01:00:46.667000,False
1970/01/01/01:00:46.700000,False
1970/01/01/01:00:46.734000,False
1970/01/01/01:00:46.767000,False
1970/01/01/01:00:46.800000,False
1970/01/01/01:00:46.834000,False
1970/01/01/01:00:46.867000,False
1970/01/01/01:00:46.900000,False
1970/01/01/01:00:46.934000,False
1970/01/01/01:00:46.967000,False
1970/01/01/01:00:47.001000,False
1970/01/01/01:00:47.034000,False
1970/01/01/01:00:47.067000,False
1970/01/01/01:00:47.100000,False
1970/01/01/01:00:47.134000,False
1970/01/01/01:00:47.167000,False
1970/01/01/01:00:47.200000,False
1970/01/01/01:00:47.234000,False
1970/01/01/01:00:47.267000,False
1970/01/01/01:00:47.300000,False
1970/01/01/01:00:47.334000,False
1970/01/01/01:00:47.367000,False
1970/01/01/01:00:47.400000,False
1970/01/01/01:00:47.435000,False
1970/01/01/01:00:47.467000,False
1970/01/01/01:00:47.501000,False
1970/01/01/01:00:47.534000,False
1970/01/01/01:00:47.567000,False
1970/01/01/01:00:47.601000,False
1970/01/01/01:00:47.634000,False
1970/01/01/01:00:47.667000,False
